70_100,70_80,70_50,70_30,70_0,60_80,60_50,60_30,60_0,50_100,50_80,50_50,50_30,50_0,40_100,40_80,40_50,40_30,40_0
0.7605531963,,-0.4907629214,,-1.607480806,0.4492024865,,-0.899567043,-1.376420623,,0.2825159447,-0.09698386228,,,0.1695684062,,,-0.1708222353,-0.4316520443
0.7102208622,,-0.4710128531,,-1.381480683,0.4146522454,,-0.8318013911,-1.230696773,,0.2657550668,-0.1223474173,,,0.172041238,,,-0.2231960432,-0.4995351859
0.6976209154,,-0.4474291165,,-1.278500749,0.4048865619,,-0.7911038962,-1.157800642,,0.2613707231,-0.1269212415,,,0.1744551038,,,-0.2380436033,-0.5184034685
0.6734806756,,-0.4334588764,,-1.195916394,0.3891479466,,-0.7539660153,-1.093036743,,0.2550967143,-0.1310712391,,,0.1761206481,,,-0.2492228986,-0.5322693413
0.6296429161,,-0.3875916186,,-1.028210061,0.3618461566,,-0.6646533651,-0.9514608761,,0.2454416887,-0.1302451383,,,0.1803605344,,,-0.2594897014,-0.5446879772
0.5791469238,,-0.3087454599,,-0.8260004962,0.3338294526,,-0.5345423051,-0.7670564206,,0.2385477739,-0.1124243923,,,0.1861952462,,,-0.2492926709,-0.5328085102
0.5189743797,,-0.2277545888,,-0.6514622139,0.3064807786,,-0.4001952669,-0.5942443687,,0.2326357848,-0.08216128114,,,0.1893680333,,,-0.218217606,-0.4979832366
0.4507441114,,-0.1798139155,,-0.5455814843,0.2756097312,,-0.3008912584,-0.4763731843,,0.2221330778,-0.05541032542,,,0.1864721108,,,-0.1823182249,-0.4578260262
0.4611743624,,-0.09434504893,,-0.4128997416,0.2844603615,,-0.208929889,-0.3690240806,,0.2269518833,-0.02315276402,,,0.1870374573,,,-0.1488818484,-0.4188459626
0.3269516073,,-0.2067830283,,-0.5421496376,0.2092205388,,-0.2513603248,-0.4253323438,,0.191125914,-0.04598308102,,,0.1714040569,,,-0.1490599005,-0.4183339945
0.388429782,,-0.1087929878,,-0.4076376649,0.2467633495,,-0.1810956786,-0.3391908831,,0.2084032105,-0.01677967865,,,0.1765848402,,,-0.1277978476,-0.3917568244
0.4736866505,,0.0175981157,,-0.2318857243,0.2831030445,,-0.0795085027,-0.2212099277,,0.222583596,0.02343917672,,,0.1780006067,,,-0.0914350533,-0.3450800637
0.3309521732,,-0.07489266182,,-0.3136890074,0.1972455054,,-0.0991910438,-0.2436671522,,0.174899147,0.008360855302,,,0.1492430364,,,-0.07470552879,-0.3107068728
0.2708530314,,-0.09391908763,,-0.3029542334,0.1496535391,,-0.08865070167,-0.2228725437,,0.1410320692,0.006981138573,,,0.1228641652,,,-0.05435164551,-0.2625984639
0.6886345519,,0.3716516083,,0.3082277068,0.3626475436,,0.1887456508,0.1281113792,,0.2325106379,0.1287194796,,,0.1492613758,,,0.01491116063,-0.1544910657
-0.4961715833,,-0.7768941081,,-1.080829505,-0.2742932787,,-0.4582452424,-0.6381977433,,-0.08670782811,-0.1736411698,,,0.003832753734,,,-0.1078470443,-0.2624115698
2.917235294,,2.666233587,,3.238736364,1.546736697,,1.494110388,1.748721174,,0.7878872379,0.7200541966,,,0.3700288936,,,0.2877374211,0.1953893618
